nameOfIssuer	titleOfClass	cusip	value	shrsOrPrnAmt_	shrsOrPrnAmt_	investmentDiscretion	votingAuthority_Sole	votingAuthority_Shared	votingAuthority_None
AMC ENTMT HLDGS INC	CL A COM	00165C104	126	8488	SH	DFND	8488	0	0
AMC ENTMT HLDGS INC	CL A COM	00165C104	123	8300	SH	DFND	8300	0	0
AMC ENTMT HLDGS INC	CL A COM	00165C104	33	2200	SH	DFND	2200	0	0
AMDOCS LTD 	SHS	G02602103	124	2300	SH	DFND	2300	0	0
AMDOCS LTD 	SHS	G02602103	498	9200	SH	DFND	9200	0	0
AMEREN CORP 	COM	023608102	2317	31500	SH	DFND	31500	0	0
AMEREN CORP 	COM	023608102	37	500	SH	DFND	500	0	0
AMERICA MOVIL SAB DE CV 	SPON ADR L SHS	02364W105	159	11124	SH	DFND	11124	0	0
AMERICAN AIRLS GROUP INC 	COM	02376R102	10892	342935	SH	DFND	342935	0	0
AMERICAN AIRLS GROUP INC 	COM	02376R102	8366	263400	SH	DFND	263400	0	0
AMERICAN AIRLS GROUP INC 	COM	02376R102	33383	1051100	SH	DFND	1051100	0	0
AMERICAN ASSETS TR INC 	COM	024013104	770	16800	SH	DFND	16800	0	0
AMERICAN AXLE & MFG HLDGS IN 	COM	024061103	914	63900	SH	DFND	63900	0	0
AMERICAN AXLE & MFG HLDGS IN 	COM	024061103	14	1000	SH	DFND	1000	0	0
AMERICAN CAMPUS CMNTYS INC 	COM	024835100	61	1287	SH	DFND	1287	0	0
AMERICAN CAMPUS CMNTYS INC 	COM	024835100	10	200	SH	DFND	200	0	0
AMERICAN CAMPUS CMNTYS INC 	COM	024835100	742	15600	SH	DFND	15600	0	0
AMERICAN EAGLE OUTFITTERS IN 	COM	02553E106	1049	47300	SH	DFND	47300	0	0
AMERICAN ELEC PWR CO INC 	COM	025537101	2312	27600	SH	DFND	27600	0	0
AMERICAN EXPRESS CO	COM	025816109	2121	19402	SH	DFND	19402	0	0
AMERICAN EXPRESS CO	COM	025816109	1410	12900	SH	DFND	12900	0	0
AMERICAN EXPRESS CO	COM	025816109	7105	65000	SH	DFND	65000	0	0
AMERICAN INTL GROUP INC 	COM NEW	026874784	9065	210523	SH	DFND	210523	0	0
AMERICAN INTL GROUP INC 	COM NEW	026874784	2609	60600	SH	DFND	60600	0	0
AMERICAN INTL GROUP INC 	COM NEW	026874784	3152	73200	SH	DFND	73200	0	0
AMERICAN MIDSTREAM PARTNERS 	COM UNITS	02752P100	54	10495	SH	DFND	10495	0	0
AMERICAN MIDSTREAM PARTNERS 	COM UNITS	02752P100	55	10600	SH	DFND	10600	0	0
AMERICAN OUTDOOR BRANDS CORP	COM	02874P103	29	3067	SH	DFND	3067	0	0
AMERICAN OUTDOOR BRANDS CORP	COM	02874P103	145	15500	SH	DFND	15500	0	0
AMERICAN OUTDOOR BRANDS CORP	COM	02874P103	594	63600	SH	DFND	63600	0	0
AMERICAN PUBLIC EDUCATION IN	COM	02913V103	48	1601	SH	DFND	1601	0	0
AMERICAN PUBLIC EDUCATION IN	COM	02913V103	169	5600	SH	DFND	5600	0	0
AMERICAN RENAL ASSOCIATES HO	COM	029227105	5	852	SH	DFND	852	0	0
AMERICAN RENAL ASSOCIATES HO	COM	029227105	56	9200	SH	DFND	9200	0	0
AMERICAN STS WTR CO 	COM	029899101	656	9200	SH	DFND	9200	0	0
AMERICAN STS WTR CO 	COM	029899101	656	9200	SH	DFND	9200	0	0
AMERICAN TOWER CORP NEW 	COM	03027X100	23627	119900	SH	DFND	119900	0	0
AMERICAN TOWER CORP NEW 	COM	03027X100	16395	83200	SH	DFND	83200	0	0
AMERICAN WOODMARK CORPORATIO	COM	030506109	1247	15094	SH	DFND	15094	0	0
AMERICAN WTR WKS CO INC NEW 	COM	030420103	4118	39500	SH	DFND	39500	0	0
AMERIGAS PARTNERS L P 	UNIT L P INT	030975106	51	1665	SH	DFND	1665	0	0
AMERIGAS PARTNERS L P 	UNIT L P INT	030975106	176	5700	SH	DFND	5700	0	0
AMERIGAS PARTNERS L P 	UNIT L P INT	030975106	204	6600	SH	DFND	6600	0	0
AMERIPRISE FINL INC 	COM	03076C106	5831	45517	SH	DFND	45517	0	0
AMERIS BANCORP 	COM	03076K108	505	14709	SH	DFND	14709	0	0
AMERIS BANCORP 	COM	03076K108	34	1000	SH	DFND	1000	0	0
AMERIS BANCORP 	COM	03076K108	663	19300	SH	DFND	19300	0	0
AMERISOURCEBERGEN CORP 	COM	03073E105	221	2779	SH	DFND	2779	0	0
AMERISOURCEBERGEN CORP 	COM	03073E105	827	10400	SH	DFND	10400	0	0
AMGEN INC 	COM	031162100	1647	8669	SH	DFND	8669	0	0
AMGEN INC 	COM	031162100	6231	32800	SH	DFND	32800	0	0
AMKOR TECHNOLOGY INC 	COM	031652100	99	11600	SH	DFND	11600	0	0
AMN HEALTHCARE SERVICES INC 	COM	001744101	1308	27771	SH	DFND	27771	0	0
AMN HEALTHCARE SERVICES INC 	COM	001744101	118	2500	SH	DFND	2500	0	0
AMPHENOL CORP NEW 	CL A	032095101	529	5600	SH	DFND	5600	0	0
AMPHENOL CORP NEW 	CL A	032095101	66	700	SH	DFND	700	0	0
ANADARKO PETE CORP 	COM	032511107	1522	33474	SH	DFND	33474	0	0
ANADARKO PETE CORP 	COM	032511107	3375	74200	SH	DFND	74200	0	0
ANADARKO PETE CORP 	COM	032511107	1305	28700	SH	DFND	28700	0	0
ANALOG DEVICES INC 	COM	032654105	7537	71600	SH	DFND	71600	0	0
ANALOG DEVICES INC 	COM	032654105	537	5100	SH	DFND	5100	0	0
ANDEAVOR LOGISTICS LP 	COM UNIT LP INT	03350F106	17	470	SH	DFND	470	0	0
ANDEAVOR LOGISTICS LP 	COM UNIT LP INT	03350F106	321	9100	SH	DFND	9100	0	0
ANDEAVOR LOGISTICS LP 	COM UNIT LP INT	03350F106	35	1000	SH	DFND	1000	0	0
ANGI HOMESERVICES INC	COM CL A	00183L102	207	13411	SH	DFND	13411	0	0
ANGLOGOLD ASHANTI LTD	SPONSORED ADR	035128206	1068	81509	SH	DFND	81509	0	0
ANGLOGOLD ASHANTI LTD	SPONSORED ADR	035128206	229	17500	SH	DFND	17500	0	0
ANGLOGOLD ASHANTI LTD	SPONSORED ADR	035128206	6322	482600	SH	DFND	482600	0	0
ANHEUSER BUSCH INBEV SA/NV 	SPONSORED ADR	03524A108	3346	39850	SH	DFND	39850	0	0
ANHEUSER BUSCH INBEV SA/NV 	SPONSORED ADR	03524A108	6399	76200	SH	DFND	76200	0	0
ANNALY CAP MGMT INC 	COM	035710409	1363	136455	SH	DFND	136455	0	0
ANNALY CAP MGMT INC 	COM	035710409	2254	225600	SH	DFND	225600	0	0
ANSYS INC 	COM	03662Q105	291	1591	SH	DFND	1591	0	0
ANSYS INC 	COM	03662Q105	256	1400	SH	DFND	1400	0	0
ANSYS INC 	COM	03662Q105	914	5000	SH	DFND	5000	0	0
ANTERO RES CORP 	COM	03674X106	1580	178969	SH	DFND	178969	0	0
ANTERO RES CORP 	COM	03674X106	89	10100	SH	DFND	10100	0	0
ANTERO RES CORP 	COM	03674X106	4891	553900	SH	DFND	553900	0	0
ANTHEM INC 	COM	036752103	3970	13834	SH	DFND	13834	0	0
